DayOfWeek,IntervalPeriod,Weekend,BusinessHours,TotalDemand,RRP
3,23,no,yes,9632.41,37.42
3,24,no,yes,9669.25,40.12
3,25,no,yes,9762.74,41.01
3,26,no,yes,9882.36,41.58
3,27,no,yes,9931.7,43.23
3,28,no,yes,10003.62,43.01
3,29,no,yes,10055.93,41.58
3,30,no,yes,10200.99,46.93
3,31,no,yes,10340.67,47.98
3,32,no,yes,10403.79,54.58
3,33,no,yes,10334.61,49.2
3,34,no,yes,10256.69,49.71
3,35,no,yes,9991.86,42.51
3,36,no,yes,9862.99,41.31
3,37,no,no,9519.32,39.17
3,38,no,no,9372.15,39.94
3,39,no,no,9418.09,42.68
3,40,no,no,9304.38,42.45
3,41,no,no,9095.85,41.49
3,42,no,no,8820.84,36.91
3,43,no,no,8662.32,35.13
3,44,no,no,8357.44,31.77
3,45,no,no,8145.89,35.11
3,46,no,no,7980.93,33.43
3,47,no,no,7683.59,34.26
4,0,no,no,7524.92,33.43
4,1,no,no,7269.19,27.97
4,2,no,no,7036.28,28.04
4,3,no,no,6693.92,27.85
4,4,no,no,6455.66,27.86
4,5,no,no,6330.1,24.29
4,6,no,no,6242.96,23.32
4,7,no,no,6264.78,24.23
4,8,no,no,6314.92,25.42
4,9,no,no,6599.6,28.03
4,10,no,no,6866.38,32.59
4,11,no,no,7383.94,37.76
4,12,no,no,7870.55,31.86
4,13,no,no,8330.74,38.21
4,14,no,no,8687.7,39.77
4,15,no,no,8919.19,41.23
4,16,no,yes,9096.96,41.9
4,17,no,yes,9291.54,42.3
4,18,no,yes,9440.35,41.86
4,19,no,yes,9575.4,41.7
4,20,no,yes,9600.81,41.73
4,21,no,yes,9638.87,41.79
4,22,no,yes,9711.89,41.89
4,23,no,yes,9682.15,42.21
4,24,no,yes,9748.45,42.14
4,25,no,yes,9849.67,43.32
4,26,no,yes,9917.52,42.29
4,27,no,yes,10023.38,45
4,28,no,yes,10090.53,43.8
4,29,no,yes,10135.51,46.85
4,30,no,yes,10301.92,53.79
4,31,no,yes,10479.6,215.52
4,32,no,yes,10519.23,299.77
4,33,no,yes,10441.35,106.07
4,34,no,yes,10422.61,155.07
4,35,no,yes,10135.29,131.77
4,36,no,yes,9949.26,56.99
4,37,no,no,9585.38,35.45
4,38,no,no,9456,34.96
4,39,no,no,9431.27,35.69
4,40,no,no,9294.25,37.24
4,41,no,no,9029.76,34.95
4,42,no,no,8715.48,33.06
4,43,no,no,8558.26,31.42
4,44,no,no,8231.01,24.79
4,45,no,no,7996.1,31.71
4,46,no,no,7790.81,29.62
4,47,no,no,7605.79,30.39
5,0,no,no,7445.5,31.48
5,1,no,no,7199.63,27.99
5,2,no,no,6951.83,27.43
5,3,no,no,6631.22,25.09
5,4,no,no,6449.79,23.65
5,5,no,no,6329.75,23.78
5,6,no,no,6271.17,24.37
5,7,no,no,6274.32,24.41
5,8,no,no,6340.42,25.43
5,9,no,no,6552.17,27.47
5,10,no,no,6790.53,31.16
5,11,no,no,7338.88,40.56
5,12,no,no,7785.93,37.09
5,13,no,no,8241.51,38.08
5,14,no,no,8586.34,41.24
5,15,no,no,8804.81,35.11
